FromID,ToID,Distance_km,Time_min
C001,C002,15.450299999999999,18.473333333333336
C001,C003,18.2759,22.971666666666668
C001,C004,1.1309,2.643333333333333
C001,C005,13.6691,16.96333333333333
C001,C006,12.6108,17.433333333333334
C001,C007,16.8872,22.93166666666667
C001,C008,15.0384,19.37
C001,C009,7.5098,10.514999999999999
C001,C010,7.110399999999999,10.663333333333332
C001,C011,10.8902,12.476666666666667
C001,C012,23.3191,28.028333333333332
C001,C013,8.4626,11.354999999999999
C001,C014,19.018,22.226666666666667
C001,C015,1.2554,3.14
C001,C016,7.4218,12.358333333333333
C001,C017,4.283399999999999,9.018333333333334
C001,C018,11.017299999999999,15.976666666666667
C001,C019,15.2813,20.138333333333332
C001,C020,21.915599999999998,25.716666666666665
C001,C021,21.0418,26.473333333333336
C001,C022,5.482,7.598333333333333
C001,C023,20.1147,23.755
C001,C024,4.705100000000001,8.151666666666667
C002,C001,13.6565,17.323333333333334
C002,C003,6.8125,8.408333333333333
C002,C004,13.1662,16.711666666666666
C002,C005,14.3,20.425
C002,C006,8.273200000000001,13.618333333333334
C002,C007,8.2916,13.011666666666667
C002,C008,15.645700000000001,22.773333333333333
C002,C009,15.6545,23.31833333333333
C002,C010,20.164099999999998,25.376666666666665
C002,C011,18.96,25.308333333333334
C002,C012,11.8556,13.465
C002,C013,6.4242,10.115
C002,C014,7.5545,7.663333333333333
C002,C015,13.135399999999999,16.958333333333332
C002,C016,20.4754,27.071666666666665
C002,C017,11.3552,17.288333333333334
C002,C018,9.49,16.683333333333334
C002,C019,5.9721,9.03
C002,C020,10.4521,11.153333333333334
C002,C021,12.4999,16.893333333333334
C002,C022,10.762,12.733333333333333
C002,C023,8.651200000000001,9.191666666666666
C002,C024,17.1542,22.94
C003,C001,15.9504,20.259999999999998
C003,C002,6.4834,7.733333333333333
C003,C004,15.46,19.648333333333333
C003,C005,11.3895,17.398333333333333
C003,C006,7.368399999999999,12.085
C003,C007,13.569700000000001,16.106666666666666
C003,C008,12.7352,19.746666666666666
C003,C009,17.6365,25.678333333333335
C003,C010,22.457900000000002,28.313333333333333
C003,C011,19.8352,27.688333333333333
C003,C012,8.596200000000001,9.645000000000001
C003,C013,10.4181,14.238333333333333
C003,C014,2.9851,3.5416666666666665
C003,C015,15.846,20.081666666666667
C003,C016,22.769299999999998,30.008333333333333
C003,C017,15.3491,21.41166666666667
C003,C018,8.8627,14.708333333333334
C003,C019,10.082,10.878333333333334
C003,C020,5.8827,7.031666666666666
C003,C021,16.673299999999998,19.46833333333333
C003,C022,13.0685,15.508333333333333
C003,C023,4.0818,5.069999999999999
C003,C024,19.4402,25.705
C004,C001,1.045,2.1983333333333333
C004,C002,14.440700000000001,16.86
C004,C003,17.2772,21.548333333333336
C004,C005,12.6595,15.35
C004,C006,11.6012,15.82
C004,C007,15.8885,21.508333333333333
C004,C008,14.028799999999999,17.756666666666668
C004,C009,8.2187,11.18
C004,C010,8.163,10.871666666666666
